coords,dotted,main,meta,place,sub
"(['50.05850000'], ['19.95030000'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ']","[' cena   1 500 000 zł   15 000 zł/m² ', ' powierzchnia   100 m²   ', ' liczba pokoi   4   ', ' piętro   1  (z 5)  ']", Nr oferty w Otodom: 47678404 Nr oferty w biurze nieruchomości: ABN-MS-21548 Liczba wyświetleń strony: 727 Data dodania: 24.03.2017 Data aktualizacji: 29.03.2017 ,"['Kraków, Grzegórzki,  Daszyńskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  materiał budynku:  pustak ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  czynsz:  700 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   260 000 zł   5 663,25 zł/m² ', ' powierzchnia   45,91 m²   ', ' liczba pokoi   2   ', ' piętro   7  (z 9)  ']", Nr oferty w Otodom: 47494634 Nr oferty w biurze nieruchomości: 835/4879/OMS Liczba wyświetleń strony: 666 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Bieżanów-Prokocim, Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ']"
"(['50.04513130'], ['19.95485440'])",[],"[' cena   215 000 zł   10 238,10 zł/m² ', ' powierzchnia   21 m²   ', ' liczba pokoi   1   ', ' piętro   parter  (z 2)  ']", Nr oferty w Otodom: 47629686 Nr oferty w biurze nieruchomości: 855/4879/OMS Liczba wyświetleń strony: 1819 Data dodania: 21.03.2017 Data aktualizacji: 23.03.2017 ,"['Kraków, Podgórze, Józefińska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2012  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08469590'], ['19.93358280'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' meble ', ' balkon ', '  garaż/miejsce parkingowe ', '  winda ', '  pom. użytkowe ']","[' cena   1 100 000 zł   11 340,21 zł/m² ', ' powierzchnia   97 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 7)  ']", Nr oferty w Otodom: 47285414 Nr oferty w biurze nieruchomości: 14196/2089/OMS Liczba wyświetleń strony: 1183 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków, Krowodrza, Kluczborska']","['  rynek:  wtórny ', '  rodzaj zabudowy:  apartamentowiec ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  2007  ', '  stan wykończenia:  do zamieszkania ', '  czynsz:  460 zł ', '  forma własności:  pełna własność ']"
"(['50.01897850'], ['19.98809500'])","[' teren zamknięty ', ' balkon ', '  winda ']","[' cena   252 000 zł   6 300 zł/m² ', ' powierzchnia   40 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 11)  ']", Nr oferty w Otodom: 46562440 Liczba wyświetleń strony: 1802 Data dodania: ponad 14 dni temu Data aktualizacji: 28.03.2017 ,"['Kraków,  Polonijna']","['  rynek:  pierwotny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do wykończenia ', '  forma własności:  pełna własność ', '  dostępne od:  1 Grudnia 2017 ']"
"(['50.06871070'], ['19.94929180'])",[],"[' cena   245 000 zł   12 237,76 zł/m² ', ' powierzchnia   20,02 m²   ', ' liczba pokoi   1   ', ' piętro   4  (z 4)  ']", Nr oferty w Otodom: 47366776 Nr oferty w biurze nieruchomości: 455420 Liczba wyświetleń strony: 186 Data dodania: ponad 14 dni temu Data aktualizacji: 24.03.2017 ,"['Kraków, Stare Miasto, Lubomirskiego']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  plastikowe ', '  rok budowy:  1950  ']"
"(['50.07404570'], ['19.93507190'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' monitoring / ochrona ', ' piwnica ']","[' cena   460 000 zł   7 419,35 zł/m² ', ' powierzchnia   62 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 3)  ']", Nr oferty w Otodom: 47559634 Nr oferty w biurze nieruchomości: BRG-MS-6231 Liczba wyświetleń strony: 87 Data dodania: ponad 14 dni temu Data aktualizacji: 27.03.2017 ,"['Kraków, Łobzów']","['  rynek:  wtórny ', '  rodzaj zabudowy:  kamienica ', '  materiał budynku:  cegła ', '  okna:  drewniane ', '  ogrzewanie:  miejskie ', '  rok budowy:  1933  ', '  stan wykończenia:  do remontu ', '  czynsz:  400 zł ', '  forma własności:  pełna własność ']"
"(['50.00898360'], ['19.96197870'])",[' balkon '],"[' cena   375 000 zł   5 961,84 zł/m² ', ' powierzchnia   62,90 m²   ', ' liczba pokoi   3   ', ' piętro   6  (z 6)  ']", Nr oferty w Otodom: 44464452 Nr oferty w biurze nieruchomości: 395697 Liczba wyświetleń strony: 385 Data dodania: ponad 14 dni temu Data aktualizacji: 27.03.2017 ,"['Kraków, Kurdwanów, Wysłouchów']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  inne ', '  okna:  plastikowe ', '  rok budowy:  2005  ']"
"(['50.08304410'], ['19.97570500'])","[' telewizja kablowa ', '  internet ', '  telefon ', ' balkon ', '  winda ', '  pom. użytkowe ']","[' cena   329 027 zł   7 024,49 zł/m² ', ' powierzchnia   46,84 m²   ', ' liczba pokoi   2   ', ' piętro   3  (z 4)  ']", Nr oferty w Otodom: 47701304 Nr oferty w biurze nieruchomości: 1558/4437/OMS Liczba wyświetleń strony: 22 Data dodania: 27.03.2017 Data aktualizacji: 27.03.2017 ,"['Kraków, Prądnik Czerwony']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  okna:  plastikowe ', '  ogrzewanie:  miejskie ', '  rok budowy:  2017  ', '  stan wykończenia:  do zamieszkania ', '  forma własności:  pełna własność ']"
"(['50.08132220'], ['19.88866330'])",[' balkon '],"[' cena   230 000 zł   8 465,22 zł/m² ', ' powierzchnia   27,17 m²   ', ' liczba pokoi   1   ', ' piętro   10  (z 14)  ']", Nr oferty w Otodom: 46550980 Nr oferty w biurze nieruchomości: 443870 Liczba wyświetleń strony: 236 Data dodania: ponad 14 dni temu Data aktualizacji: 27.03.2017 ,"['Kraków, Bronowice, Stańczyka']","['  rynek:  wtórny ', '  rodzaj zabudowy:  blok ', '  materiał budynku:  inne ', '  okna:  plastikowe ', '  rok budowy:  2019  ']"
